name,position,price,match,mål,assist,matchavgorande_mål,mål_i_numerart_underlage,+_-,spelad_match_och_istid,skott_på_mål,tekningar,blockerade_skott,utvisningar,tacklingar,raddningar,inslappta_mål,hållna_nollor,vinster,overtidsvinster,overtidsforluster,agandeskap,stat_24,stat_25
Wiktor Nilsson,FW,6.2 mkr,79,0,2.5,8,12,0,0,8,56,0,0,3,-10,2,0,0,0,0,0,,
Matias Lassen,B,5.7 mkr,79,1.6,2.0,0,12,0,0,-4,69,0,0,4,-4,2,0,0,0,0,0,,
Oliver Johansson,FW,5.7 mkr,78,0.4,1.9,8,15,2,0,-14,68,0,0,2,-5,2,0,0,0,0,0,,
Wilhelm Hallquisth,B,5.5 mkr,78,1,2.1,4,24,0,0,-16,61,0,0,6,-1,0,0,0,0,0,0,,
Oliver Eklind,FW,6.1 mkr,78,2.4,2.1,4,15,0,0,-8,63,1,-3,2,-4,8,0,0,0,0,0,,
Isac Solberg,FW,6.0 mkr,78,2.6,2.4,4,12,2,0,8,50,1,0,1,-3,3,0,0,0,0,0,,
Luke Witkowski,B,6.1 mkr,75,5.8,3,8,3,0,0,-4,51,0,0,11,-9,15,0,0,0,0,0,,
Fred Nilsson,B,5.6 mkr,75,1.2,1.8,4,9,0,0,-16,73,0,0,9,-4,0,0,0,0,0,0,,
Hugo Fransson,B,6.0 mkr,74,2.8,2.5,8,9,0,0,-6,59,1,0,4,-2,1,0,0,0,0,0,,
Max Karlsson,FW,5.6 mkr,73,0,2.6,4,15,0,0,6,44,0,1,0,-2,5,0,0,0,0,0,,
Filip Hasa,B,6.0 mkr,72,3.2,2,12,6,0,0,-4,55,2,0,3,-4,2,0,0,0,0,0,,
Frans Haara,B,6.1 mkr,72,3.4,2.3,4,6,0,0,0,49,2,0,2,-1,10,0,0,0,0,0,,
Victor Berglund,B,6.2 mkr,71,3.8,2.6,24,9,4,0,-22,55,1,0,5,-5,0,0,0,0,0,0,,
Mattias Tedenby,FW,5.3 mkr,71,3.2,1.7,24,3,4,0,-22,67,1,0,2,-9,1,0,0,0,0,0,,
