GW,Vecka,Datum,Hemmalag,Bortalag
21,9,2024-02-25,Timrå IK,Frölunda HC
21,9,2024-02-25,Linköping HC,Växjö Lakers
21,9,2024-02-25,Brynäs IF,Leksands IF
21,9,2024-02-25,Malmö Redhawks,Färjestad BK
21,9,2024-02-25,Rögle BK,HV71
21,9,2024-02-27,Luleå Hockey,HV71
21,9,2024-02-27,Färjestad BK,Linköping HC
21,9,2024-02-27,Leksands IF,Skellefteå AIK
21,9,2024-02-27,Örebro Hockey,Timrå IK
21,9,2024-02-27,Frölunda HC,Brynäs IF
21,9,2024-02-27,Växjö Lakers,Rögle BK
21,9,2024-02-27,Malmö Redhawks,MoDo Hockey
21,9,2024-03-01,Timrå IK,Färjestad BK
21,9,2024-03-01,HV71,Brynäs IF
21,9,2024-03-01,Rögle BK,MoDo Hockey
21,9,2024-03-01,Växjö Lakers,Örebro Hockey
21,9,2024-03-01,Leksands IF,Luleå Hockey
21,9,2024-03-01,Linköping HC,Skellefteå AIK
21,9,2024-03-02,Malmö Redhawks,Frölunda HC
22,10,2024-03-04,Skellefteå AIK,Timrå IK
22,10,2024-03-04,Färjestad BK,Luleå Hockey
22,10,2024-03-04,MoDo Hockey,HV71
22,10,2024-03-04,Linköping HC,Malmö Redhawks
22,10,2024-03-04,Örebro Hockey,Leksands IF
22,10,2024-03-04,Brynäs IF,Växjö Lakers
22,10,2024-03-04,Frölunda HC,Rögle BK
22,10,2024-03-06,Luleå Hockey,MoDo Hockey
22,10,2024-03-06,Timrå IK,Linköping HC
22,10,2024-03-06,Frölunda HC,Färjestad BK
22,10,2024-03-06,HV71,Örebro Hockey
22,10,2024-03-06,Rögle BK,Brynäs IF
22,10,2024-03-06,Malmö Redhawks,Leksands IF
22,10,2024-03-06,Växjö Lakers,Skellefteå AIK
22,10,2024-03-08,Leksands IF,Växjö Lakers
22,10,2024-03-08,Linköping HC,Rögle BK
22,10,2024-03-08,Brynäs IF,Skellefteå AIK
22,10,2024-03-08,Luleå Hockey,Frölunda HC
22,10,2024-03-08,MoDo Hockey,Timrå IK
22,10,2024-03-08,Färjestad BK,HV71
22,10,2024-03-08,Örebro Hockey,Malmö Redhawks
23,11,2024-03-11,Skellefteå AIK,MoDo Hockey
23,11,2024-03-11,Örebro Hockey,Luleå Hockey
23,11,2024-03-11,Leksands IF,Frölunda HC
23,11,2024-03-11,Brynäs IF,Färjestad BK
23,11,2024-03-11,HV71,Linköping HC
23,11,2024-03-11,Malmö Redhawks,Rögle BK
23,11,2024-03-11,Växjö Lakers,Timrå IK
